name,latitude,longitude,note
1275 Fountaingrove Pkwy Santa Rosa,38.4405,-122.7141,Confirmed HIGH wildfire / Tubbs Fire 2017 footprint
Fountaingrove Ridge Ct,38.4462,-122.7052,Tubbs Fire 2017 rebuild zone
Coffey Park - Hopper Ave,38.4667,-122.7439,Tubbs Fire 2017 total-loss neighborhood
Coffey Park - Dogwood Dr,38.4695,-122.7398,Tubbs Fire 2017 total-loss neighborhood
Mark West Springs Rd,38.5085,-122.6858,Tubbs Fire ignition corridor WUI
Calistoga - Foothill Blvd,38.5827,-122.5852,Glass Fire 2020 perimeter edge
Calistoga - Silverado Trail N,38.5946,-122.5637,Glass Fire 2020 perimeter edge
Deer Park - Sanitarium Rd,38.5241,-122.4767,Glass Fire 2020 footprint WUI
Angwin - Howell Mountain Rd,38.5760,-122.4494,Glass Fire adjacent forest WUI
Kenwood - Warm Springs Rd,38.4130,-122.5461,Nuns Fire 2017 corridor Sonoma Valley
Glen Ellen - Arnold Dr,38.3646,-122.5241,Nuns Fire 2017 footprint
Downtown Santa Rosa - 4th St,38.4396,-122.7127,Urban core comparison
Santa Rosa - Railroad Square,38.4362,-122.7215,Urban core comparison
Downtown Napa - 1st St,38.2986,-122.2857,Urban core comparison / Napa River proximity
Napa - Soscol Ave riverfront,38.2932,-122.2810,Napa River flood zone AE candidate
Napa - Riverside Dr,38.2871,-122.2833,Napa River flood plain
Guerneville - Main St,38.5019,-122.9958,Russian River flood zone / repetitive-loss area
Forestville - River Rd,38.4735,-122.8899,Russian River corridor mixed peril
